check_id,file,what_it_tests,units_enforced,units_named,agreement
lint(a)-dispatch_mode,scripts/plan_lint.py,plan header dispatch_mode field is valid,rule-35,rule-35,named=enforced
lint(a)-pause_for_verdict,scripts/plan_lint.py,plan header pause_for_verdict is recognized token,,,neither
lint(a)-known_failures,scripts/plan_lint.py,plan header known_failures is an integer,,,neither
lint(b),scripts/plan_lint.py,steps mentioning deposits have parseable Deposits block,rule-26,,enforces-more
lint(c),scripts/plan_lint.py,QA plans contain Rule 20 banner pair,rule-20,rule-20,named=enforced
lint(d),scripts/plan_lint.py,Scope block present but parseable to at least one path,,,neither
lint(e),scripts/plan_lint.py,step headings use uppercase STEP N format when qa_steps declared,,,neither
lint(f)-dc-block,scripts/plan_lint.py,T1+ plan has Drafting Cycle block with all 5 lenses and Closing,,,neither
lint(f)-manifest,scripts/plan_lint.py,"Cycle Manifest stanza has required fields, valid class, coherent validation",,,neither
lint(g),scripts/plan_lint.py,DC ledger constraint entries are strictly ascending,,,neither
lint(h),scripts/plan_lint.py,DC Closing does not claim no-lens when lens results are recorded,,,neither
lint(i),scripts/plan_lint.py,qa_and_terminal mode requires parseable qa_steps; on_failure requires qa_steps,,,neither
lint(j),scripts/plan_lint.py,flags [INHERITED FROM N — NOT RE-EXECUTED] markers outside fenced code,,,neither
lint(k),scripts/plan_lint.py,clone-framed plan names its newest same-class comparison,,,neither
lint(l),scripts/plan_lint.py,clone-framed plan firing T-2 declared below T2 is warned,dc-T-2,dc-T-2,named=enforced
lint(n),scripts/plan_lint.py,inline backtick grep on literal pattern uses -F flag,,,neither
lint(o1),scripts/plan_lint.py,backtick path candidates exist on disk,,,neither
lint(o2),scripts/plan_lint.py,Deposits entries are project-prefixed or absolute (Rule 26 form),rule-26,,enforces-more
lint(p),scripts/plan_lint.py,DC ledger C-entries carry backtick-quoted command or check: token,,,neither
lint(q),scripts/plan_lint.py,sha256 and git pins in plan text verify against actual files and repos,,,neither
lint(r),scripts/plan_lint.py,probe constants (== >= <= N) in step blocks have supersede-class clause,,,neither
lint(s),scripts/plan_lint.py,target_class=detector plans declare state_space and mutants fields,,,neither
lint(t),scripts/plan_lint.py,advisory: detector-named targets declare target_class,,,neither
lint(u),scripts/plan_lint.py,QA step Deposits: first .md is QA report (not other .md); .txt evidence present,rule-20,,enforces-more
gate-receipt_status,gates.py,agent Output Receipt status is Complete,,,neither
gate-ceo_flags,gates.py,no CEO-flagged blockers in Output Receipt,,,neither
gate-no_errors,gates.py,agent run produced no error,,,neither
gate-no_permission_denials,gates.py,no blocking permission denials (read-class and git-lock cleanup exempt),,,neither
gate-deposit_exists,gates.py,all agent-declared AND plan-required deposits exist on disk; uncommitted deposits flagged,rule-22;rule-26,rule-26,enforces-more
gate-rule_20_self_check,gates.py,QA report contains Rule 20 banner 'Rule 20 — QA Self-Check Results' and PASSED line,rule-20,rule-20,named=enforced
gate-rule_22_verification,gates.py,"QA report verification table: no ❌ rows, rows have positive status; no hedging in positive-status cells",rule-22;rule-19,rule-22,enforces-more
gate-qa_test_result,gates.py,QA .txt evidence has parseable pytest summary; failures <= known_failures,rule-21,,enforces-more
gate-scope_check,gates.py,files changed by agent are within the step's declared Scope block,,,neither
wrap[0/resolve],hooks/eluvian/wrap_check.py,ELUVIAN_WRAP_BELLOWS override (if set) points to a real bellows checkout,,,neither
wrap[1/project],hooks/eluvian/wrap_check.py,project Done/ files committed; project repo pushed,,wrap-1,names-more
wrap[2/bellows],hooks/eluvian/wrap_check.py,verdicts/resolved and receipts/ committed; bellows repo pushed,,wrap-2,names-more
wrap[3/root],hooks/eluvian/wrap_check.py,shop_next_session.md baton committed; bellows gitlink committed; root pushed,wrap-8,wrap-3,names-more
wrap[3b/lessons],hooks/eluvian/wrap_check.py,today's Lessons-swept: line with session-id present in baton,wrap-7,,enforces-more
wrap[4/memory],hooks/eluvian/wrap_check.py,memory repo entries have class: frontmatter; memory committed and pushed,,wrap-4,names-more
wrap[2r/receipts],hooks/eluvian/wrap_check.py,own-session deposit receipts each match a clearance or hold sidecar,,,neither
