draft_slug	commit_sha	commit_idx	phase	class	matches_count	done_file
clean-gate-auto-continue	56914dfd	0	[draft] clean-gate auto-contin	m	2	executable-317.md
clean-gate-auto-continue	56914dfd	0	[draft] clean-gate auto-contin	q	0	executable-317.md
clean-gate-auto-continue	56914dfd	0	[draft] clean-gate auto-contin	r	0	executable-317.md
clean-gate-auto-continue	56914dfd	0	[draft] clean-gate auto-contin	s	1	executable-317.md
clean-gate-auto-continue	7ec2c034	1	[draft] clean-gate auto-contin	m	2	executable-317.md
clean-gate-auto-continue	7ec2c034	1	[draft] clean-gate auto-contin	q	0	executable-317.md
clean-gate-auto-continue	7ec2c034	1	[draft] clean-gate auto-contin	r	0	executable-317.md
clean-gate-auto-continue	7ec2c034	1	[draft] clean-gate auto-contin	s	1	executable-317.md
clean-gate-auto-continue	d96e3a69	2	[draft] clean-gate auto-contin	m	2	executable-317.md
clean-gate-auto-continue	d96e3a69	2	[draft] clean-gate auto-contin	q	0	executable-317.md
clean-gate-auto-continue	d96e3a69	2	[draft] clean-gate auto-contin	r	0	executable-317.md
clean-gate-auto-continue	d96e3a69	2	[draft] clean-gate auto-contin	s	5	executable-317.md
clean-gate-auto-continue	80b53fcb	3	[draft] clean-gate auto-continue a1 culmination — 3 folds	m	2	executable-317.md
clean-gate-auto-continue	80b53fcb	3	[draft] clean-gate auto-continue a1 culmination — 3 folds	q	0	executable-317.md
clean-gate-auto-continue	80b53fcb	3	[draft] clean-gate auto-continue a1 culmination — 3 folds	r	0	executable-317.md
clean-gate-auto-continue	80b53fcb	3	[draft] clean-gate auto-continue a1 culmination — 3 folds	s	6	executable-317.md
clean-gate-auto-continue	a3b7b250	4	[draft] clean-gate auto-continue c1 (four lenses) — 3 folds re-run dry	m	2	executable-317.md
clean-gate-auto-continue	a3b7b250	4	[draft] clean-gate auto-continue c1 (four lenses) — 3 folds re-run dry	q	0	executable-317.md
clean-gate-auto-continue	a3b7b250	4	[draft] clean-gate auto-continue c1 (four lenses) — 3 folds re-run dry	r	0	executable-317.md
clean-gate-auto-continue	a3b7b250	4	[draft] clean-gate auto-continue c1 (four lenses) — 3 folds re-run dry	s	8	executable-317.md
clean-gate-auto-continue	8c7745c9	5	[draft] clean-gate auto-continue aC (ACID confirming, apart) — dry at zero	m	2	executable-317.md
clean-gate-auto-continue	8c7745c9	5	[draft] clean-gate auto-continue aC (ACID confirming, apart) — dry at zero	q	0	executable-317.md
clean-gate-auto-continue	8c7745c9	5	[draft] clean-gate auto-continue aC (ACID confirming, apart) — dry at zero	r	0	executable-317.md
clean-gate-auto-continue	8c7745c9	5	[draft] clean-gate auto-continue aC (ACID confirming, apart) — dry at zero	s	8	executable-317.md
clean-gate-auto-continue	0265b998	6	[draft] clean-gate auto-continue seat-1 culmination — 8 folds	m	2	executable-317.md
clean-gate-auto-continue	0265b998	6	[draft] clean-gate auto-continue seat-1 culmination — 8 folds	q	0	executable-317.md
clean-gate-auto-continue	0265b998	6	[draft] clean-gate auto-continue seat-1 culmination — 8 folds	r	0	executable-317.md
clean-gate-auto-continue	0265b998	6	[draft] clean-gate auto-continue seat-1 culmination — 8 folds	s	8	executable-317.md
clean-gate-auto-continue	f41c2295	7	[draft] clean-gate auto-continue seat-2 culmination — Site 4	m	2	executable-317.md
clean-gate-auto-continue	f41c2295	7	[draft] clean-gate auto-continue seat-2 culmination — Site 4	q	0	executable-317.md
clean-gate-auto-continue	f41c2295	7	[draft] clean-gate auto-continue seat-2 culmination — Site 4	r	0	executable-317.md
clean-gate-auto-continue	f41c2295	7	[draft] clean-gate auto-continue seat-2 culmination — Site 4	s	9	executable-317.md
clean-gate-auto-continue	a4d65c32	8	[draft] clean-gate auto-contin	m	2	executable-317.md
clean-gate-auto-continue	a4d65c32	8	[draft] clean-gate auto-contin	q	0	executable-317.md
clean-gate-auto-continue	a4d65c32	8	[draft] clean-gate auto-contin	r	0	executable-317.md
clean-gate-auto-continue	a4d65c32	8	[draft] clean-gate auto-contin	s	9	executable-317.md
