id,home,kind,num,title,line,enforcers,n_enforcers,section_cited,corpus_cites,enforced_by_reading,q3_class,q3_artifact,q4_weight,q5_home
rule-1,PLANNER_TEMPLATE,rule,1,Every step must be agent-routed,491,scripts/check_backlog_freshness.py,1,,0,,MECHANIZABLE,plan header fields; check_backlog_freshness.py cites its own Rule 1-4 (false positive in citation); plan_lint (a) could extend,0,STANDARD
rule-2,PLANNER_TEMPLATE,rule,2,"Every step must specify reads, deposits, and dependencies",494,scripts/check_backlog_freshness.py,1,,0,,MECHANIZABLE,plan header fields; check_backlog_freshness.py cites its own Rule 1-4 (false positive in citation); plan_lint (a) could extend,0,STANDARD
rule-3,PLANNER_TEMPLATE,rule,3,Plans follow the org handoff chain,501,scripts/check_backlog_freshness.py,1,,0,,MECHANIZABLE,plan header fields; check_backlog_freshness.py cites its own Rule 1-4 (false positive in citation); plan_lint (a) could extend,0,STANDARD
rule-4,PLANNER_TEMPLATE,rule,4,Plans must identify parallel lanes,508,scripts/check_backlog_freshness.py,1,,0,,MECHANIZABLE,plan header fields; check_backlog_freshness.py cites its own Rule 1-4 (false positive in citation); plan_lint (a) could extend,0,STANDARD
rule-5,PLANNER_TEMPLATE,rule,5,"Dense prompts, no narrative",511,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-6,PLANNER_TEMPLATE,rule,6,Plans deposit to `knowledge/decisions/` with type prefix,514,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-7,PLANNER_TEMPLATE,rule,7,No generalist steps,517,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-8,PLANNER_TEMPLATE,rule,8,Final step moves plan to Done and emits PROJECT_STATUS milestone via channel,520,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,EXECUTION-MODEL
rule-9,PLANNER_TEMPLATE,rule,9,Live DB schema verification for database changes,531,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-10,PLANNER_TEMPLATE,rule,10,Separate investigation from implementation in prompts,534,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-11,PLANNER_TEMPLATE,rule,11,Scale prompt detail inversely to blueprint completeness,537,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-12,PLANNER_TEMPLATE,rule,12,Phrase uncertain fixes as verify-first,540,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-13,PLANNER_TEMPLATE,rule,13,Anchor prompts with concrete reference points,543,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-14,PLANNER_TEMPLATE,rule,14,Enumerate complete scope with per-item status tracking,546,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-15,PLANNER_TEMPLATE,rule,15,Every step after Step 1 verifies the prior step's Output Receipt,549,,0,,1,,MECHANIZABLE,plan text step structure; plan_lint new check per step N>=2 for Output Receipt verification language,1,STANDARD
rule-16,PLANNER_TEMPLATE,rule,16,Skip specialist file and glossary reads for mechanical tasks,559,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-17,PLANNER_TEMPLATE,rule,17,Post-execution deliverable verification,562,,0,,1,,UNRESOLVED,agent output receipt content — gate could read receipt but deliverable verification text is free-form,1,UNRESOLVED
rule-18,PLANNER_TEMPLATE,rule,18,QA evidence file requirement,565,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-19,PLANNER_TEMPLATE,rule,19,Hedging keywords auto-invalidate,568,,0,,4,gate-rule_22_verification,ENFORCED,,4,STANDARD
rule-20,PLANNER_TEMPLATE,rule,20,Mandatory QA self-check Python block,571,gates.py;scripts/plan_lint.py,2,,47,gate-rule_20_self_check;lint(c);lint(u);RULE_20_SELF_CHECK_BLOCK,ENFORCED,,47,STANDARD
rule-21,PLANNER_TEMPLATE,rule,21,Test scope must be declared in the plan header,612,,0,,6,gate-qa_test_result,ENFORCED,,6,STANDARD
rule-22,PLANNER_TEMPLATE,rule,22,Planner verification of deposited files (BOTH diagnostic AND executable plans),669,gates.py;scripts/check_backlog_freshness.py;verdict.py,3,,20,gate-rule_22_verification;gate-deposit_exists;verdict-gate_display,ENFORCED,,20,STANDARD
rule-23,PLANNER_TEMPLATE,rule,23,"End-of-plan housekeeping must use anchored edits, enumerated sub-steps, and the order: commit (feedback is dae",697,,0,,3,,MECHANIZABLE,plan step text; plan_lint could check end-of-plan step for anchored-edit patterns and enumerated sub-steps,3,STANDARD
rule-24,PLANNER_TEMPLATE,rule,24,Atomic plan deposit to Bellows-watched directories,711,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-25,PLANNER_TEMPLATE,rule,25,Planner polling of Bellows verdict requests,737,,0,,8,,CONVERSATIONAL,,8,ROLE
rule-26,PLANNER_TEMPLATE,rule,26,Deposits field convention,804,gates.py;verdict.py,2,,6,gate-deposit_exists;lint(b);lint(o2);depositor-empty_writes;verdict-gate_display,ENFORCED,,6,STANDARD
rule-27,PLANNER_TEMPLATE,rule,27,"Diagnostic-derived plans cite findings, never supplement with source reads",834,,0,,1,,MECHANIZABLE,plan text; plan_lint check: diagnostic plans must cite known-good artifact id or finding id in each step,1,STANDARD
rule-28,PLANNER_TEMPLATE,rule,28,Pre-cutover unknowns diagnostic before destructive cross-cutting work,862,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-29,PLANNER_TEMPLATE,rule,29,Split destructive cross-cutting plans at the natural verification point with a verdict gate,868,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-30,PLANNER_TEMPLATE,rule,30,"`Filesystem:write_file` for `/Users/marklehn/` paths, never `create_file`",874,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-31,PLANNER_TEMPLATE,rule,31,Submodule pointer bump immediately after submodule commit-push,880,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-32,PLANNER_TEMPLATE,rule,32,"Walk git-internal intermediate state; ""safe and non-destructive"" is not an agent judgment call",884,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-33,PLANNER_TEMPLATE,rule,33,Phase 1.5 enforcement — happens FIRST regardless of task size,888,,0,,1,,CONVERSATIONAL,,1,ROLE
rule-34,PLANNER_TEMPLATE,rule,34,"Three-item verdict-file mechanical check, executed out loud",892,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-35,PLANNER_TEMPLATE,rule,35,Distinguish manual-bootstrap vs Bellows-dispatch execution modes,896,bellows.py;validators.py,2,,10,lint(a)-dispatch_mode,ENFORCED,,10,STANDARD
rule-36,PLANNER_TEMPLATE,rule,36,Negative grep during dormancy is not architectural evidence,912,,0,,2,,MECHANIZABLE,"plan text; plan_lint can grep for ""no [Xx]"" grep patterns in dormancy steps",2,STANDARD
rule-37,PLANNER_TEMPLATE,rule,37,`**Deposits:**` blocks must contain resolvable paths only,918,,0,,1,,MECHANIZABLE,plan Deposits block; plan_lint (o1) already checks path existence — extend to validate Deposits paths only,1,STANDARD
rule-38,PLANNER_TEMPLATE,rule,38,Audit all gate function call sites when shipping shared-function fix,924,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-39,PLANNER_TEMPLATE,rule,39,Pre-edit verification of SA-derived claims in acting steps,928,,0,,2,,CONVERSATIONAL,,2,ROLE
rule-40,PLANNER_TEMPLATE,rule,40,"Verify today's date via shell call at session start, before authoring any dated filename",960,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-41,PLANNER_TEMPLATE,rule,41,SA dispatch shape for Bellows-watched directories — distributed early-output anchors mandatory for content loa,964,,0,,1,,CONVERSATIONAL,,1,ROLE
rule-42,PLANNER_TEMPLATE,rule,42,FORWARD register session-wrap reconciliation (canonical rule),993,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-43,PLANNER_TEMPLATE,rule,43,"Baton ""On the horizon"" cross-check against PROJECT_STATUS Completed",1008,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-44,PLANNER_TEMPLATE,rule,44,FORWARD entry framing — deduplicate before filing,1012,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-45,PLANNER_TEMPLATE,rule,45,SA blueprints must verify downstream consumers when adding to recognized-sets,1016,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-46,PLANNER_TEMPLATE,rule,46,Lessons Forge Gate 1 — reject daemon-bug workaround proposals,1022,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-47,PLANNER_TEMPLATE,rule,47,Derive Lessons Forge classification work list from the stale-aware DB helper,1028,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-48,PLANNER_TEMPLATE,rule,48,Gate-enforced QA actions require a mandatory top-of-step callout,1036,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-49,PLANNER_TEMPLATE,rule,49,Delegated verdict authority on clean Bellows runs (CEO policy 2026-07-02),1042,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-50,PLANNER_TEMPLATE,rule,50,"Derive step scope from SA enumeration, not hand-typed lists",1054,,0,,1,,CONVERSATIONAL,,1,ROLE
rule-51,PLANNER_TEMPLATE,rule,51,"Corrections at verdict time go into plan text, not verdict disposition prose",1065,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-52,PLANNER_TEMPLATE,rule,52,Re-verify inherited claims before dispositions and routing decisions,1071,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-53,PLANNER_TEMPLATE,rule,53,Region-scoped metrics must be computed with scope applied end to end,1085,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-54,PLANNER_TEMPLATE,rule,54,"Every requirement needs a structural home — a numbered row, a named test, or a gate condition",1091,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-55,PLANNER_TEMPLATE,rule,55,Assert a positive signal from the source that holds the state — empty output is not verification,1097,,0,,1,,CONVERSATIONAL,,1,ROLE
rule-56,PLANNER_TEMPLATE,rule,56,Resume machinery is justified only when the interrupted work is not reproducible,1109,,0,,4,,CONVERSATIONAL,,4,ROLE
rule-57,PLANNER_TEMPLATE,rule,57,"Generalizing a guard: keep the mechanism generic, require the caller to pin the specifics",1119,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-58,PLANNER_TEMPLATE,rule,58,Pre-stated conclusions require verification anchors and equal evidence burden,1125,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-59,PLANNER_TEMPLATE,rule,59,Read the cited rule before citing it,1131,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-60,PLANNER_TEMPLATE,rule,60,Rule 20 self-check form selected by plan class,1139,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-61,PLANNER_TEMPLATE,rule,61,"Pin run-time-copied artifacts by content hash, and name which job the pin does",1149,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-62,PLANNER_TEMPLATE,rule,62,Establish that a recovered-from state is reachable before authoring recovery machinery,1161,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-63,PLANNER_TEMPLATE,rule,63,Read the DELIVERY code before theorising about non-arrival,1175,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-64,PLANNER_TEMPLATE,rule,64,A pipe-bearing command never goes in a markdown table cell,1179,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-65,PLANNER_TEMPLATE,rule,65,"Verify a mandated block in the SECTION the parser reads, not merely present in the deposit",1183,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-66,PLANNER_TEMPLATE,rule,66,A mandated requirement lives in the step that must comply,1189,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-67,PLANNER_TEMPLATE,rule,67,"Before authoring verification for a delivery channel, read the delivering code and state which artifact it con",1195,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-68,PLANNER_TEMPLATE,rule,68,"Channel items are single physical lines; downstream of a splitter, compare content, not counts",1201,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-69,PLANNER_TEMPLATE,rule,69,"A parser-terminator fix belongs to the class, not the instance",1207,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-70,PLANNER_TEMPLATE,rule,70,A declared-outputs block lists only what the step produces on EVERY path,1213,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-71,PLANNER_TEMPLATE,rule,71,Audit every new verification referent for true independence,1219,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-72,PLANNER_TEMPLATE,rule,72,Declare polarity for every two-direction number in a diagnostic,1227,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-73,PLANNER_TEMPLATE,rule,73,Record a constraint and its violation-catching check in the same edit,1233,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-74,PLANNER_TEMPLATE,rule,74,"A directional insert anchors on a COMPLETE line, and a mechanism fix sweeps for its mirror",1241,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-75,PLANNER_TEMPLATE,rule,75,"Path-scope the COMMIT, not just the add, and assert the commit's contents",1247,,0,,0,,MECHANIZABLE,plan text artifact; plan_lint structural extension,0,STANDARD
rule-76,PLANNER_TEMPLATE,rule,76,"Before editing a doc, grep the codebase for line-number citations of it",1253,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-77,PLANNER_TEMPLATE,rule,77,Sweep the source deposit's closing sections for directives addressed to a future plan,1259,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-78,PLANNER_TEMPLATE,rule,78,Construct the mid-band cases for every threshold or quantifier clause before shipping,1265,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-79,PLANNER_TEMPLATE,rule,79,A halt that offers options banners the inferred choice at the next gate,1271,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-80,PLANNER_TEMPLATE,rule,80,An authoring-time id is a prediction; the verify-at-deposit clause names every site,1277,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-81,PLANNER_TEMPLATE,rule,81,Census every copy of an enum before adding a value,1283,,0,,0,,CONVERSATIONAL,,0,ROLE
rule-82,PLANNER_TEMPLATE,rule,82,Price a change at its IN-population rate and argue against the strongest counterexample,1291,,0,,0,,CONVERSATIONAL,,0,ROLE
