register,date,date_src,schema,plan,tier,walk_headers,max_walk,seat_rows,finding_rows,integration_rows,plan_lint_first,plan_lint_mentions,plan_lint_proxy,cycle_check_first,cycle_check_mentions,cycle_check_proxy,fold_check_first,fold_check_mentions,fold_check_proxy,propagation_check_first,propagation_check_mentions,propagation_check_proxy,walk_register_lint_first,walk_register_lint_mentions,walk_register_lint_proxy
walk-register-auto-confirm-on-agreement-2026-08-11.md,2026-08-11,filename,0.1,04-executable-auto-confirm-on-agreement-2026-08-11.md,,1,0,0,19,2,0,1,1,,0,0,,0,0,,0,0,,0,0
walk-register-bellows-restart-lock-2026-08-15.md,2026-08-15,filename,0.3,,,1,0,0,8,2,0,1,1,,0,0,,0,0,,0,0,,0,0
walk-register-bellows-restart-lock-fix-2026-08-15.md,2026-08-15,filename,0.3,,,1,0,0,9,1,,0,0,,0,0,0,1,0,,0,0,,0,0
walk-register-classify-307-318-2026-08-11.md,2026-08-11,filename,0.1,,,1,0,0,9,2,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-contract-entry-readability-2026-08-11.md,2026-08-11,filename,0.1,01-diagnostic-contract-entry-readability-2026-08-11.md,,1,0,0,28,5,pre,2,1,,0,0,,0,0,,0,0,,0,0
walk-register-contract-version-toggle-2026-08-12.md,2026-08-12,filename,,,,4,2,0,12,0,2,1,0,,0,0,,0,0,,0,0,,0,0
walk-register-cycle-classify-folddamage-2026-08-14.md,2026-08-14,filename,0.3,,,1,0,0,5,2,,0,0,,0,0,0,2,0,,0,0,,0,0
walk-register-cycle-classify-residual-bucket-2026-08-15.md,2026-08-15,filename,0.3,,T1 — additive writes (one `insert_propos,4,3,0,26,11,0,2,0,,0,0,0,5,1,,0,0,pre,3,0
walk-register-cycle-classify-s40sweep-2026-08-13.md,2026-08-13,filename,0.2,382 (,,0,,0,5,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-cycle-classify-s42sweep-2026-08-13.md,2026-08-13,filename,0.3,,,3,2,0,6,2,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-cycle-ingest-folddamage-2026-08-14.md,2026-08-14,filename,0.3,,,1,0,0,8,2,0,1,0,,0,0,,0,0,,0,0,,0,0
walk-register-cycle-ingest-residual-bucket-2026-08-14.md,2026-08-14,filename,,,T1 — additive single-write ingest (T-2 f,11,10,0,0,0,2,4,2,,0,0,1,11,5,,0,0,6,2,0
walk-register-cycle-ingest-s40sweep-2026-08-13.md,2026-08-13,filename,0.2,381 (,,0,,0,10,0,,0,0,,0,0,,0,0,,0,0,,0,0
walk-register-cycle-ingest-s42sweep-2026-08-13.md,2026-08-13,filename,0.3,,,5,4,0,6,2,0,1,0,,0,0,,0,0,,0,0,,0,0
