plan_file	plan_id	block	lens	pass	folded	pre_existing	fold_introduced	origin	source	status	note
action-queue-auto-resolution-orchestration-2026-03-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
action-queue-intelligence-links-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
action-router-plan-2026-03-14.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
archived-stub-in-progress-diagnostic-continuation-rule-rounding-2026-05-06.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
archived-superseded-by-fuel-csv-precision-2026-05-22-diagnostic-fuel-copilot-prompt-robustness-2026-05-20.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
base-rates-copilot-orchestration-2026-03-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
carrier-tcode-merge-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-card-dashboard-orchestration-2026-03-17.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-card-hierarchy-orchestration-2026-03-19.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-dashboard-cards-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-dates-optional-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-hierarchy-claude-code-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-integrity-orchestration-2026-03-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
contract-view-simplification-2026-03-17.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-contract-import-plan-2026-03-14.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-data-collection-plan-2026-03-14.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-first-orchestration-2026-03-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-pipeline-fix-2026-03-31.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-pipeline-orchestration-2026-03-14.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
copilot-success-dashboard-2026-04-03.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
date-based-resolution-claude-code-prompts-2026-03-16.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
deficit-weight-display-orchestration-2026-03-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
dev-log-action-queue-integration-tests-scenarios-4-6-2026-05-20.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-145.md	145	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-155.md	155	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-159.md	159	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-160.md	160	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-168.md	168	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-170.md	170	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-173.md	173	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-177.md	177	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-179.md	179	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-180.md	180	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-182.md	182	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-186.md	186	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-188.md	188	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-190.md	190	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-192.md	192	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-193.md	193	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-198.md	198	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-199.md	199	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-211.md	211	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-213.md	213	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-214.md	214	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-229.md	229	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-235.md	235	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-236.md	236	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-261.md	261	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-266.md	266	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-272.md	272	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Weak spots:          w1 → v1: 3 folded (W1 Q1 enumerate-not-grep; W2 Q3 forge-dep parsed-vs-rendered, flag-if-unreacha
diagnostic-272.md	272	1	destruction	w2	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	destruction	w3	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	vulnerabilities	w3	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	integration-record	w2	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	integration-record	w3	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	acid	w2	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-272.md	272	1	acid	w3	0	-	-	ABSENT	RECORD_CLAIMED	OK	-
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Weak spots:          w1 → v1: 4 folded (W1 1.3 zero-diff provenance premise — face-value vs corrected; W2 1.3 addressa
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Destruction:         w1 → v2: 3 folded (2.4 — does NOT skip for a diagnostic) (D1 reuse must not refactor gate 7/8/9 s
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Destruction:         pending.
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Vulnerabilities:     w1 → v3: 4 folded (V1 3.1 Q6 follow-on script cp1252/ASCII + ASCII-assertion test, Mac can't repr
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Integration-record:  w1 → v4: 3 folded (R1 4.4 fuel timing_rule/effective_day independence — reuse gate 8, highest fal
diagnostic-310.md	310	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- ACID:                w1 → v5: 2 folded (A1 5.2 Consistency — D1 "recompute independently" vs R1/R3 reuse: harmonized, 
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Weak spots:          w1 → v1: 5 folded (W1 1.3 aging-recalc obligation had no owner question — locate the recalc site;
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Destruction:         w1 → v2: 4 folded (2.4 — does NOT skip for a diagnostic) (D1 claim 1's "dead code" is a deletion-
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Vulnerabilities:     w1 → v3: 5 folded (V1 3.1 `os.path.isdir(xml_folder)` in the gate means a folder-less dev box mim
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Integration-record:  w1 → v4: 3 folded (R1 4.1/4.2 the March hang diagnostic's SIX-rider table is the parity baseline 
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- ACID:                w1 → v5: 4 folded (5.1/5.3/5.4 structurally empty — single-step read-only diagnostic; lens aimed 
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Weak spots:          w2 → v6: 3 folded, aimed at walk-1's least-touched regions (Q3 untouched since v0; Q7d; the fold 
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Destruction:         w2 → v7: 3 folded (2.4) (D5 synchronous=NORMAL priced concretely — displayed-success-then-lost-ro
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Vulnerabilities:     w2 → v8: 4 folded (V6 3.4 the request commits MULTIPLE times today (app.py:367/:375/:393 + valida
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- Integration-record:  w2 → v9: 4 folded (R4 4.1 the 2026-07-30 baton audit (NEXT_SESSION.md § CSV Ingest Performance) i
diagnostic-323.md	323	1	-	-	-	-	-	N/A	RECORD_CLAIMED	UNPARSEABLE	- ACID:                w2 → v10: 2 folded (5.1/5.3/5.4 structurally empty as in w1) (A5 5.2 the July audit fix order pre
diagnostic-65.md	65	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-66.md	66	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-67.md	67	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-68.md	68	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-69.md	69	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-75.md	75	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-76.md	76	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-77.md	77	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-79.md	79	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-83.md	83	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-9-repo-fsck-triage-2026-05-14.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-90.md	90	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-92.md	92	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-94.md	94	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-96.md	96	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-accessorial-alias-dupes-2026-04-03.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-accessorial-alias-resolution-2026-03-27.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-accessorial-alias-ui-and-scoping-2026-03-27.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-accessorial-code-aliases-2026-03-26.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-action-queue-workflow-2026-05-18.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-actions-500-2026-04-01.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-activity-notes-patterns-2026-03-26.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-app-performance-2026-03-30.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-auto-contract-functional-2026-03-30.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
diagnostic-auto-contract-volume-priority-2026-03-27.md	-	-	-	-	-	-	-	N/A	RECORD_CLAIMED	NO_BLOCK	-
